Ticker,Nama Perusahaan,Sektor,EPS QnQ,ROA,ROE,NPM,PER,PBV,DER,PEG,BVPS,MP,Free Float,Dividend Yield,Source
HRUM,PT Harum Energy Tbk,Energy,60.50%,2.51%,3.58%,2.94%,14.39x,N/A,33.73%,0.28x,0.07,790.00,17.66%,N/A,google+yfinance+stockbit
ICBP,PT Indofood CBP Sukses Makmur Tbk,Consumer Defensive,-3.10%,7.33%,14.63%,11.97%,9.05x,1.52x,62.22%,1.53x,4681.50,7100.00,19.47%,3.52%,google+yfinance
INCO,PT Vale Indonesia Tbk,Basic Materials,100.10%,1.42%,3.51%,9.45%,33.56x,N/A,10.30%,N/A,0.27,5475.00,16.18%,98.00%,google+yfinance+stockbit
INDF,PT Indofood Sukses Makmur Tbk,Consumer Defensive,8.60%,6.89%,13.32%,8.68%,5.59x,0.79x,61.09%,0.43x,8805.49,6950.00,49.68%,4.03%,google+yfinance
INDY,PT. Indika Energy Tbk,Energy,142.30%,2.69%,2.25%,0.50%,N/A,N/A,82.50%,3.93x,0.23,2450.00,27.58%,52.00%,google+yfinance+stockbit
INKP,PT Indah Kiat Pulp & Paper Tbk,Basic Materials,11.40%,3.67%,6.93%,14.64%,5.17x,N/A,68.49%,N/A,1.28,7850.00,41.29%,64.00%,google+yfinance+stockbit
INTP,PT Indocement Tunggal Prakarsa Tbk,Basic Materials,2.10%,4.17%,9.88%,12.80%,7.24x,0.69x,12.12%,5.21x,7086.77,4900.00,27.48%,5.29%,google+yfinance
ISAT,PT Indosat Ooredoo Hutchison Tbk,Communication Services,13.70%,5.85%,15.03%,9.78%,12.24x,1.84x,133.42%,1.25x,1172.45,2160.00,25.98%,5.14%,google+yfinance
ITMG,PT Indo Tambangraya Megah Tbk,Energy,-17.70%,6.64%,9.38%,9.53%,7.95x,N/A,4.24%,0.25x,1.70,22525.00,34.85%,7.68%,google+yfinance+stockbit
JPFA,PT Japfa Comfeed Indonesia Tbk,Consumer Defensive,72.50%,10.07%,23.40%,6.59%,7.65x,1.64x,59.25%,0.58x,1605.12,2630.00,58.34%,5.45%,google+yfinance
KLBF,PT Kalbe Farma Tbk.,Healthcare,-4.40%,9.02%,14.43%,9.99%,10.16x,1.51x,118.70%,1.21x,536.97,810.00,39.77%,4.44%,google+yfinance
KPIG,PT MNC Tourism Indonesia Tbk,Real Estate,78.10%,1.22%,2.62%,27.71%,12.60x,0.33x,19.04%,N/A,288.33,96.00,64.47%,N/A,google+yfinance
LSIP,PT Perusahaan Perkebunan London Sumatra Indonesia Tbk,Consumer Defensive,0.70%,8.11%,13.82%,34.07%,4.62x,0.63x,0.10%,1.69x,2052.79,1285.00,40.38%,5.06%,google+yfinance
MAPA,PT Map Aktif Adiperkasa Tbk,Consumer Cyclical,38.40%,11.88%,21.84%,9.30%,9.46x,1.91x,20.46%,0.66x,321.19,615.00,30.70%,65.00%,google+yfinance
MAPI,PT. Mitra Adiperkasa Tbk,Consumer Cyclical,33.00%,7.96%,17.54%,5.18%,10.45x,1.69x,46.96%,0.67x,882.62,1495.00,49.00%,67.00%,google+yfinance
MARK,PT Mark Dynamics Indonesia Tbk,Healthcare,19.20%,21.84%,31.03%,33.59%,10.48x,3.17x,62.80%,N/A,258.51,820.00,19.73%,19.51%,google+yfinance
MDKA,PT Merdeka Copper Gold Tbk,Basic Materials,N/A,1.68%,0.55%,-3.28%,N/A,N/A,71.14%,N/A,0.03,2850.00,50.69%,N/A,google+yfinance+stockbit
MEDC,PT Medco Energi Internasional Tbk,Energy,282.30%,4.98%,6.97%,6.15%,11.76x,N/A,155.80%,0.81x,0.09,1270.00,24.91%,4.48%,google+yfinance+stockbit
MIKA,PT Mitra Keluarga Karyasehat Tbk,Healthcare,4.80%,11.73%,17.98%,25.30%,17.09x,3.11x,11.10%,0.97x,544.97,1695.00,34.03%,2.54%,google+yfinance
