Ticker,Nama Perusahaan,Sektor,EPS QnQ,ROA,ROE,NPM,PER,PBV,DER,PEG,BVPS,MP,Free Float,Dividend Yield,Source
HRUM,PT Harum Energy Tbk,Energy,60.50%,2.51%,3.58%,2.94%,14.93x,N/A,33.73%,0.28x,0.07,830.00,17.66%,N/A,google+yfinance+stockbit
ICBP,PT Indofood CBP Sukses Makmur Tbk,Consumer Defensive,-3.10%,7.33%,14.63%,11.97%,8.36x,1.40x,62.22%,1.53x,4681.50,6550.00,19.47%,3.80%,google+yfinance
INCO,PT Vale Indonesia Tbk,Basic Materials,100.10%,1.42%,3.51%,9.45%,31.20x,N/A,10.30%,N/A,0.27,5150.00,16.18%,1.51%,google+yfinance+stockbit
INDF,PT Indofood Sukses Makmur Tbk,Consumer Defensive,8.60%,6.89%,13.32%,8.68%,5.45x,0.77x,61.09%,0.43x,8805.49,6775.00,49.68%,4.16%,google+yfinance
INDY,PT. Indika Energy Tbk,Energy,142.30%,2.68%,2.25%,0.50%,63.14x,N/A,82.31%,3.93x,0.23,2270.00,28.59%,45.00%,google+yfinance+stockbit
INKP,PT Indah Kiat Pulp & Paper Tbk,Basic Materials,11.40%,3.67%,6.93%,14.64%,4.79x,N/A,68.49%,N/A,1.28,7375.00,41.29%,68.00%,google+yfinance+stockbit
INTP,PT Indocement Tunggal Prakarsa Tbk,Basic Materials,2.10%,4.17%,9.88%,12.80%,6.10x,0.58x,12.12%,4.21x,7086.77,4130.00,27.48%,11.70%,google+yfinance
ISAT,PT Indosat Ooredoo Hutchison Tbk,Communication Services,13.70%,5.85%,15.03%,9.78%,9.95x,1.50x,133.42%,0.99x,1172.45,1755.00,25.98%,6.38%,google+yfinance
ITMG,PT Indo Tambangraya Megah Tbk,Energy,-15.80%,6.48%,9.38%,9.53%,7.79x,N/A,4.24%,0.25x,1.72,22350.00,33.86%,7.67%,google+yfinance+stockbit
JPFA,PT Japfa Comfeed Indonesia Tbk,Consumer Defensive,167.00%,12.37%,27.83%,8.02%,4.27x,1.07x,37.27%,0.58x,1766.55,1885.00,58.33%,7.35%,google+yfinance
KLBF,PT Kalbe Farma Tbk.,Healthcare,-4.40%,9.02%,14.43%,9.99%,8.59x,1.28x,118.70%,1.08x,536.97,685.00,39.77%,2.94%,google+yfinance
KPIG,PT MNC Tourism Indonesia Tbk,Real Estate,78.10%,1.22%,2.62%,27.71%,10.63x,0.28x,19.04%,N/A,288.33,81.00,64.47%,N/A,google+yfinance
LSIP,PT Perusahaan Perkebunan London Sumatra Indonesia Tbk,Consumer Defensive,0.70%,8.11%,13.82%,34.07%,4.86x,0.64x,0.10%,1.69x,2110.48,1350.00,40.38%,4.83%,google+yfinance
MAPA,PT Map Aktif Adiperkasa Tbk,Consumer Cyclical,38.40%,11.88%,21.84%,9.30%,9.31x,1.88x,20.46%,0.68x,321.19,605.00,30.70%,66.00%,google+yfinance
MAPI,PT. Mitra Adiperkasa Tbk,Consumer Cyclical,33.00%,7.96%,17.54%,5.18%,10.59x,1.72x,46.96%,0.69x,882.62,1515.00,49.00%,66.00%,google+yfinance
MARK,PT Mark Dynamics Indonesia Tbk,Healthcare,19.20%,21.84%,31.03%,33.59%,11.89x,3.60x,62.80%,N/A,258.51,930.00,19.73%,13.04%,google+yfinance
MDKA,PT Merdeka Copper Gold Tbk,Basic Materials,N/A,1.68%,0.55%,-3.28%,N/A,N/A,71.14%,N/A,0.03,2930.00,50.69%,N/A,google+yfinance+stockbit
MEDC,PT Medco Energi Internasional Tbk,Energy,282.30%,4.98%,6.97%,6.15%,10.37x,N/A,155.80%,0.81x,0.09,1135.00,25.01%,5.61%,google+yfinance+stockbit
MIKA,PT Mitra Keluarga Karyasehat Tbk,Healthcare,4.80%,11.73%,17.98%,25.30%,15.77x,2.87x,11.10%,1.35x,544.97,1565.00,34.03%,2.75%,google+yfinance
MNCN,PT. Media Nusantara Citra Tbk,Communication Services,-11.90%,2.92%,5.94%,17.53%,2.13x,0.12x,5.69%,0.57x,1679.14,204.00,36.88%,N/A,google+yfinance
MTDL,PT Metrodata Electronics Tbk,Technology,3.40%,7.02%,18.73%,2.89%,7.65x,1.27x,33.35%,N/A,396.78,505.00,44.31%,5.40%,google+yfinance
MTEL,PT Dayamitra Telekomunikasi Tbk.,Communication Services,3.60%,4.39%,6.33%,22.35%,18.15x,1.18x,62.60%,N/A,415.44,490.00,14.24%,3.62%,google+yfinance
MYOR,PT Mayora Indah Tbk,Consumer Defensive,37.20%,8.78%,17.13%,8.17%,13.12x,2.14x,26.63%,2.04x,854.26,1830.00,14.79%,3.24%,google+yfinance
PGAS,PT Perusahaan Gas Negara (Persero) Tbk,Utilities,45.80%,5.30%,10.09%,6.19%,8.61x,N/A,29.05%,1.05x,0.12,1540.00,43.02%,8.05%,google+yfinance+stockbit
PGEO,PT Pertamina Geothermal Energy Tbk,Utilities,40.00%,4.34%,7.27%,33.55%,14.49x,N/A,35.81%,N/A,0.05,910.00,11.66%,5.43%,google+yfinance+stockbit
PTBA,PT Bukit Asam (Persero) Tbk,Energy,104.80%,5.27%,14.41%,7.84%,8.59x,1.22x,11.49%,0.38x,2043.81,2490.00,32.80%,4.46%,google+yfinance
PTPP,PT PP (Persero) Tbk,Industrials,-15.00%,-9.52%,-82.07%,-39.01%,N/A,0.37x,464.34%,0.51x,519.15,190.00,48.84%,N/A,google+yfinance+stockbit
PWON,PT Pakuwon Jati Tbk,Real Estate,29.30%,5.15%,11.02%,33.80%,4.86x,0.52x,20.98%,N/A,474.37,246.00,30.40%,5.24%,google+yfinance
SCMA,PT Surya Citra Media Tbk,Communication Services,100.20%,6.49%,11.40%,13.19%,13.74x,1.86x,23.40%,1.22x,107.77,200.00,6.57%,10.71%,google+yfinance
SIDO,PT Industri Jamu dan Farmasi Sido Muncul Tbk,Consumer Defensive,-36.80%,23.06%,32.82%,29.09%,9.63x,3.36x,4.90%,99.80x,110.67,372.00,20.86%,9.89%,google+yfinance
SILO,PT Siloam International Hospitals Tbk,Healthcare,13.80%,7.64%,12.49%,8.76%,25.24x,2.90x,20.86%,2.84x,768.24,2230.00,9.70%,N/A,google+yfinance
SMGR,PT Semen Indonesia (Persero) Tbk,Basic Materials,88.70%,1.03%,0.44%,0.64%,43.94x,0.23x,21.14%,2.41x,6465.29,1500.00,48.66%,1.94%,google+yfinance
SMRA,PT Summarecon Agung Tbk,Real Estate,-20.30%,4.33%,7.93%,8.07%,6.76x,0.42x,87.74%,0.36x,705.97,294.00,58.15%,1.69%,google+yfinance
TAPG,PT Triputra Agro Persada Tbk,Consumer Defensive,-8.10%,14.94%,30.76%,32.26%,8.16x,2.47x,8.74%,0.74x,601.87,1485.00,16.94%,11.80%,google+yfinance
TINS,PT TIMAH Tbk,Basic Materials,1184.20%,16.03%,30.66%,18.08%,10.28x,2.78x,11.26%,N/A,1336.98,3730.00,28.96%,2.35%,google+yfinance
TKIM,PT Pabrik Kertas Tjiwi Kimia Tbk,Basic Materials,-17.20%,1.02%,8.91%,26.12%,4.02x,N/A,25.02%,N/A,0.97,6000.00,34.99%,42.00%,google+yfinance+stockbit
TLKM,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Communication Services,-21.70%,7.38%,14.21%,11.28%,15.57x,1.88x,44.12%,20.08x,1360.33,2570.00,47.26%,8.89%,google+yfinance
TPIA,PT Chandra Asri Pacific Tbk,Basic Materials,N/A,-1.23%,42.37%,14.34%,5.27x,N/A,117.02%,N/A,0.04,1980.00,29.44%,31.00%,google+yfinance+stockbit
UNTR,PT United Tractors Tbk,Basic Materials,-79.80%,6.40%,12.31%,9.77%,6.60x,0.82x,25.75%,0.43x,27366.65,22350.00,38.35%,9.82%,google+yfinance
UNVR,PT Unilever Indonesia Tbk,Consumer Defensive,73.00%,15.60%,74.29%,26.56%,17.15x,9.64x,9.03%,2.46x,172.72,1665.00,14.63%,13.41%,google+yfinance
WIKA,PT Wijaya Karya (Persero) Tbk,Industrials,N/A,-6.09%,-181.33%,-78.54%,N/A,1.44x,64.22%,0.72x,141.88,204.00,7.32%,N/A,google+yfinance+stockbit
WSKT,PT Waskita Karya (Persero) Tbk,N/A,N/A,N/A,N/A,N/A,N/A,-15.96x,N/A,N/A,-12.66,202.00,N/A,N/A,google+yfinance+stockbit
WTON,PT Wijaya Karya Beton Tbk,Basic Materials,-5.60%,0.96%,0.11%,1.18%,16.38x,0.18x,11.30%,N/A,416.42,75.00,26.54%,62.00%,google+yfinance
