Ticker,Nama Perusahaan,Sektor,Industry,MarketCap,EPS QnQ,ROA,ROE,NPM,PER,PBV,DER,PEG,BVPS,MP,Free Float,Dividend Yield,AAOIFI Status,AAOIFI Reason,Source
DIS,Walt Disney Company,Communication Services,Entertainment,$178.86B,-31.40%,4.45%,11.01%,11.54%,16.48x,1.69x,41.07%,2.61x,61.08,103.00,99.84%,146.00%,NEEDS_AUDIT,sector:?,yfinance
NKE,Nike Inc.,Consumer Cyclical,Footwear & Accessories,$66.15B,-34.50%,5.20%,16.02%,4.84%,29.39x,4.69x,79.33%,1.54x,9.52,44.67,97.90%,3.67%,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
HD,Home Depot,Consumer Cyclical,Home Improvement Retail,$311.83B,-4.20%,12.52%,128.38%,8.41%,22.22x,22.43x,455.22%,1.77x,13.96,313.07,99.62%,2.98%,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
LOW,Lowe's Companies,Consumer Cyclical,Home Improvement Retail,$120.63B,-0.80%,12.79%,N/A,7.51%,18.18x,-13.01x,N/A,1.40x,-16.52,215.03,99.78%,2.23%,FAIL,debt_to_mcap:FAIL(35.26),yfinance
COST,Costco Wholesale,Consumer Defensive,Discount Stores,$456.18B,45.60%,8.72%,29.65%,2.99%,53.47x,27.58x,60.26%,5.22x,37.28,1028.24,99.38%,57.00%,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,$958.67B,18.80%,6.88%,24.13%,3.14%,42.35x,9.62x,73.46%,4.48x,12.50,120.27,54.86%,82.00%,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
KO,Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,$350.57B,17.80%,9.51%,43.37%,27.80%,25.62x,10.42x,124.94%,4.17x,7.82,81.48,90.04%,2.60%,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
PEP,PepsiCo Inc.,Consumer Defensive,Beverages - Non-Alcoholic,$205.82B,26.90%,9.09%,43.88%,9.15%,23.64x,9.63x,244.84%,1.62x,15.63,150.57,99.71%,3.93%,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,$200.55B,6.20%,13.56%,N/A,31.62%,23.25x,-155.95x,N/A,2.58x,-1.81,282.27,99.86%,2.64%,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,$117.51B,33.00%,7.38%,N/A,3.89%,78.71x,-13.88x,N/A,1.74x,-7.43,103.11,99.80%,2.41%,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
LIN,Linde plc,Basic Materials,Specialty Chemicals,$239.30B,11.00%,7.24%,18.23%,20.44%,34.37x,6.21x,65.64%,2.41x,83.37,517.58,99.71%,124.00%,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,$405.27B,27.30%,8.52%,51.33%,13.33%,43.86x,21.72x,230.79%,2.09x,40.51,879.89,99.69%,69.00%,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,$142.93B,-9.80%,3.81%,18.35%,10.10%,29.95x,5.43x,376.02%,1.60x,97.37,529.15,99.80%,122.00%,FAIL,debt_to_mcap:FAIL(33.91),yfinance
LMT,Lockheed Martin,Industrials,Aerospace & Defense,$122.95B,-13.10%,7.23%,67.64%,6.38%,25.84x,16.38x,276.37%,1.13x,32.56,533.24,85.71%,2.59%,NEEDS_AUDIT,sector:?,yfinance
BA,Boeing Company,Industrials,Aerospace & Defense,$172.65B,N/A,-2.07%,169.95%,2.46%,86.23x,28.85x,8.29%,23.73x,7.59,219.02,95.96%,N/A,NEEDS_AUDIT,sector:?,yfinance
UPS,United Parcel Service,Industrials,Integrated Freight & Logistics,$85.87B,-27.20%,7.19%,33.35%,5.94%,16.35x,5.29x,181.51%,1.59x,19.11,101.02,99.89%,6.49%,FAIL,debt_to_mcap:FAIL(33.38),yfinance
HON,Honeywell International,Industrials,Conglomerates,$144.42B,-43.30%,5.95%,24.26%,10.89%,36.35x,10.63x,257.39%,2.07x,21.45,227.92,94.83%,2.09%,NEEDS_AUDIT,all checks OK (manual audit non-permissible income disarankan),yfinance
GE,General Electric,Industrials,Aerospace & Defense,$316.42B,-3.70%,4.85%,45.43%,17.86%,37.57x,17.00x,116.53%,7.29x,17.81,302.84,99.62%,62.00%,NEEDS_AUDIT,sector:?,yfinance
NEE,NextEra Energy,Utilities,Utilities - Regulated Electric,$184.68B,161.90%,2.41%,10.32%,29.37%,22.47x,3.34x,156.69%,1.95x,26.48,88.55,99.78%,2.82%,FAIL,debt_to_mcap:FAIL(56.53),yfinance
