Ticker
ACES
ADMR
ADRO
AKRA
AMMN
ANTM
ARTO
ASII
ASRI
AUTO
BFIN
BMTR
BRIS
BRMS
BRPT
BSDE
BTPS
BUKA
BUMI
CPIN
CTRA
DEWA
DOID
ELSA
EMTK
ENRG
ERAA
ESSA
EXCL
FILM
GOTO
HEAL
HRUM
ICBP
INCO
INDF
INDY
INKP
INTP
ISAT
ITMG
JPFA
KLBF
KPIG
LSIP
MAPA
MAPI
MARK
MDKA
MEDC
MIKA
MNCN
MTDL
MTEL
MYOR
PGAS
PGEO
PTBA
PTPP
PWON
SCMA
SIDO
SILO
SMGR
SMRA
TAPG
TINS
TKIM
TLKM
TPIA
UNTR
UNVR
WIKA
WSKT
WTON
