Ticker,Nama Perusahaan,Sektor,EPS QnQ,ROA,ROE,NPM,PER,PBV,DER,PEG,BVPS,MP,Free Float,Dividend Yield,Source
INCO,PT Vale Indonesia Tbk,Basic Materials,100.10%,1.42%,3.51%,9.45%,29.67x,N/A,10.30%,N/A,0.27,4910.00,16.18%,1.59%,yfinance
INDF,PT Indofood Sukses Makmur Tbk,Consumer Defensive,8.60%,6.89%,13.32%,8.68%,5.32x,0.75x,61.09%,0.43x,8805.49,6625.00,49.68%,4.38%,stale
INDY,PT. Indika Energy Tbk,Energy,142.30%,2.68%,2.25%,0.50%,67.58x,N/A,82.31%,3.93x,0.23,2430.00,28.59%,42.00%,yfinance
INKP,PT Indah Kiat Pulp & Paper Tbk,Basic Materials,11.40%,3.67%,6.93%,14.64%,5.05x,N/A,68.49%,N/A,1.28,7800.00,41.29%,96.00%,yfinance
INTP,PT Indocement Tunggal Prakarsa Tbk,Basic Materials,2.10%,4.17%,9.88%,12.80%,6.94x,0.66x,12.12%,4.35x,7086.77,4700.00,27.48%,9.96%,yfinance
ISAT,PT Indosat Tbk,Communication Services,13.70%,5.85%,15.03%,9.78%,10.76x,1.62x,133.42%,1.08x,1172.45,1900.00,25.98%,5.84%,yfinance
ITMG,PT Indo Tambangraya Megah Tbk,Energy,-15.80%,6.48%,9.38%,9.53%,7.98x,N/A,4.24%,0.25x,1.72,23000.00,33.86%,7.52%,stale
JPFA,PT Japfa Comfeed Indonesia Tbk,Consumer Defensive,167.00%,12.37%,27.83%,8.02%,4.69x,1.17x,37.27%,1.34x,1766.55,2070.00,58.33%,6.76%,yfinance
KLBF,PT Kalbe Farma Tbk.,Healthcare,-4.40%,9.02%,14.43%,9.99%,9.10x,1.35x,118.70%,1.20x,536.97,725.00,39.77%,2.76%,stale
KPIG,PT MNC Tourism Indonesia Tbk,Real Estate,78.10%,1.22%,2.62%,27.71%,11.15x,0.29x,19.04%,N/A,288.33,85.00,62.26%,N/A,yfinance
LSIP,PT Perusahaan Perkebunan London Sumatra Indonesia Tbk,Consumer Defensive,0.70%,8.11%,13.82%,34.07%,4.77x,0.63x,0.10%,1.69x,2110.48,1325.00,40.38%,6.26%,yfinance
MAPA,PT Map Aktif Adiperkasa Tbk,Consumer Cyclical,38.40%,11.88%,21.84%,9.30%,9.69x,1.96x,20.46%,1.19x,321.19,630.00,30.70%,63.00%,yfinance
MAPI,PT. Mitra Adiperkasa Tbk,Consumer Cyclical,33.00%,7.96%,17.54%,5.18%,10.66x,1.73x,46.96%,0.69x,882.62,1525.00,49.00%,66.00%,stale
MARK,PT Mark Dynamics Indonesia Tbk,Healthcare,19.20%,21.84%,31.03%,33.59%,13.55x,4.10x,62.80%,N/A,258.51,1060.00,19.73%,11.32%,yfinance
MDKA,PT Merdeka Copper Gold Tbk,Basic Materials,N/A,3.32%,4.48%,-0.04%,N/A,N/A,76.50%,N/A,0.04,2660.00,50.69%,46.00%,yfinance
MEDC,PT Medco Energi Internasional Tbk,Energy,282.30%,4.98%,6.97%,6.15%,11.56x,N/A,155.80%,0.81x,0.09,1270.00,24.92%,5.08%,yfinance
MIKA,PT Mitra Keluarga Karyasehat Tbk,Healthcare,4.80%,11.73%,17.98%,25.30%,17.70x,3.22x,11.10%,1.45x,544.97,1755.00,34.03%,2.45%,yfinance
MNCN,PT. Media Nusantara Citra Tbk,Communication Services,-11.90%,2.92%,5.94%,17.53%,2.21x,0.13x,5.69%,0.57x,1679.14,212.00,36.88%,N/A,yfinance
MTDL,PT Metrodata Electronics Tbk,Technology,3.40%,7.02%,18.73%,2.89%,7.80x,1.30x,33.35%,N/A,396.78,515.00,44.31%,5.24%,yfinance
MTEL,PT Dayamitra Telekomunikasi Tbk.,Communication Services,3.60%,4.39%,6.33%,22.35%,17.04x,1.11x,62.60%,N/A,415.44,460.00,14.24%,5.58%,yfinance
MYOR,PT Mayora Indah Tbk,Consumer Defensive,37.20%,8.78%,17.13%,8.17%,12.80x,2.09x,26.63%,0.87x,854.26,1785.00,14.79%,3.36%,yfinance
PGAS,PT Perusahaan Gas Negara (Persero) Tbk,Utilities,45.80%,5.30%,10.09%,6.19%,8.33x,N/A,29.05%,1.01x,0.12,1500.00,43.02%,8.37%,yfinance
PGEO,PT Pertamina Geothermal Energy Tbk,Utilities,40.00%,4.34%,7.27%,33.55%,15.95x,N/A,35.81%,N/A,0.05,1005.00,11.80%,4.92%,yfinance
PTBA,PT Bukit Asam (Persero) Tbk,Energy,104.80%,5.27%,14.41%,7.84%,8.31x,1.18x,11.49%,0.38x,2043.81,2410.00,32.80%,4.75%,yfinance
